FR_sad,FR_spr,FR_her,X,Y,year,month,day,pred_weight,pred_length,saduria,sprat,herring,lat,lon,ices_rect,depth
0,0.01282051282051282,0,761.6260441144765,6039.96648587783,2021,11,12,312,33,0,4,0,54.4399,19.035,37G9,56
0,0,0.053164556962025315,761.6260441144765,6039.96648587783,2021,11,12,395,35,0,0,21,54.4399,19.035,37G9,56
0.006872852233676976,0,0,761.6260441144765,6039.96648587783,2021,11,12,291,31,2,0,0,54.4399,19.035,37G9,56
0,0,0.08024691358024691,761.6260441144765,6039.96648587783,2021,11,12,324,34,0,0,26,54.4399,19.035,37G9,56
0,0,0.0599250936329588,761.6260441144765,6039.96648587783,2021,11,12,534,41,0,0,32,54.4399,19.035,37G9,56
0,0.059722222222222225,0,761.6260441144765,6039.96648587783,2021,11,12,720,43,0,43,0,54.4399,19.035,37G9,56
0,0.029556650246305417,0.034482758620689655,773.4656976358034,6046.608129690603,2021,11,12,406,36,0,12,14,54.4932,19.2232,37G9,71
0.007236873883670772,0,0,620.1738867260821,6067.45823002891,2021,11,13,421,37,3.046723905025395,0,0,54.74,16.8667,38G6,28
0,0,0.013636363636363636,620.1738867260821,6067.45823002891,2021,11,13,660,40,0,0,9,54.74,16.8667,38G6,28
0,0.009732360097323601,0,620.1738867260821,6067.45823002891,2021,11,13,411,35,0,4,0,54.74,16.8667,38G6,28
0,0.016591251885369532,0.004524886877828055,620.1738867260821,6067.45823002891,2021,11,13,663,41,0,11,3,54.74,16.8667,38G6,28
0,0,0.023679417122040074,620.1738867260821,6067.45823002891,2021,11,13,549,40,0,0,13,54.74,16.8667,38G6,28
0.011584501540020513,0,0,619.7475503673156,6071.143168885378,2021,11,13,263,30,3.046723905025395,0,0,54.7732,16.8616,38G6,30
0.0020480000000000003,0,0,619.7475503673156,6071.143168885378,2021,11,13,160,26,0.3276800000000001,0,0,54.7732,16.8616,38G6,30
0,0.017035775127768313,0,619.7475503673156,6071.143168885378,2021,11,13,587,40,0,10,0,54.7732,16.8616,38G6,30
0.0054698813375680345,0,0,619.7475503673156,6071.143168885378,2021,11,13,557,39,3.046723905025395,0,0,54.7732,16.8616,38G6,30
0,0.014957264957264958,0.019230769230769232,566.8498587775086,6029.61755113671,2021,11,14,936,45,0,14,18,54.4099,16.03,37G6,26
0,0.04118404118404118,0.04504504504504504,566.8498587775086,6029.61755113671,2021,11,14,777,42,0,32,35,54.4099,16.03,37G6,26
0,0.00684931506849315,0,566.8498587775086,6029.61755113671,2021,11,14,730,43,0,5,0,54.4099,16.03,37G6,26
0,0.006700167504187605,0,566.8498587775086,6029.61755113671,2021,11,14,597,37,0,4,0,54.4099,16.03,37G6,26
0,0.07323943661971831,0,566.8498587775086,6029.61755113671,2021,11,14,355,32,0,26,0,54.4099,16.03,37G6,26
0,0.03067484662576687,0,566.8498587775086,6029.61755113671,2021,11,14,489,39,0,15,0,54.4099,16.03,37G6,26
0,0.011312217194570135,0,566.8498587775086,6029.61755113671,2021,11,14,442,35,0,5,0,54.4099,16.03,37G6,26
0,0,0.034220532319391636,704.0017564239821,6088.09923545071,2021,11,16,526,39,0,0,18,54.8982,18.1816,38G8,23
0,0,0.019193857965451054,704.0017564239821,6088.09923545071,2021,11,16,521,43,0,0,10,54.8982,18.1816,38G8,23
0,0,0.04294478527607362,704.0017564239821,6088.09923545071,2021,11,16,489,38,0,0,21,54.8982,18.1816,38G8,23
0,0,0.005774783445620789,705.2913247121539,6087.990890434604,2021,11,16,1039,48,0,0,6,54.8967,18.2016,38G8,23
0,0.004132231404958678,0,713.0379213493669,6105.2393062799465,2021,11,17,242,33,0,1,0,55.0482,18.335,39G8,68
0,0.020202020202020204,0,713.0379213493669,6105.2393062799465,2021,11,17,396,36,0,8,0,55.0482,18.335,39G8,68
0,0.0078125,0,713.0379213493669,6105.2393062799465,2021,11,17,384,39,0,3,0,55.0482,18.335,39G8,68
0,0.003284072249589491,0,713.0379213493669,6105.2393062799465,2021,11,17,609,43,0,2,0,55.0482,18.335,39G8,68
0,0.0319634703196347,0,759.1749446899837,6095.600582033582,2021,11,17,657,45,0,21,0,54.9399,19.0467,38G9,101
