year,lat,lon,quarter,month,date,haul_id,ices_rect,sub_div,country,haul_no,day,density,month_year,temp,salinity,oxy,depth,X,Y
2010,54.7761,15.295,1,3,2010-3-13,2010:1:DK:26D4:TVL:74:44,38G5,25,DK,44,13,1587.7626573690197,3_2010,4.881302356719971,13.019689559936523,6.2014422378509515,67.19000244140625,518.9756255588976,6069.916420600402
2010,55.5854,16.3999,1,3,2010-3-24,2010:1:DK:26D4:TVL:243:34,40G6,25,DK,34,24,3262.911638059426,3_2010,9.262409210205078,15.802072525024414,3.119214384233093,67.19999694824219,588.2378961846721,6160.826645097286
2010,55.7229,16.0342,1,3,2010-3-24,2010:1:DK:26D4:TVL:245:35,40G6,25,DK,35,24,1683.0353951218212,3_2010,7.986216068267822,14.482772827148438,5.168749439804077,66.86000061035156,564.9602470308544,6175.724278485868
2010,55.3702,15.2551,1,3,2010-3-11,2010:1:DK:26D4:TVL:26:38,39G5,25,DK,38,11,5135.221536683334,3_2010,1.471165657043457,14.643631935119629,8.15817580036621,80.31999969482422,516.167764438709,6136.0177824922
2010,55.0349,15.2867,1,3,2010-3-12,2010:1:DK:26D4:TVL:45:39,39G5,25,DK,39,12,6030.929308597646,3_2010,2.502549171447754,13.183274269104004,7.642259207131957,75.3499984741211,518.3238296746651,6098.712639443576
2010,54.8314,15.2536,1,3,2010-3-12,2010:1:DK:26D4:TVL:47:40,38G5,25,DK,40,12,1232.3025614465732,3_2010,4.751088619232178,12.945913314819336,6.450896324691772,67.410003662109375,516.2903546030074,6076.059514323955
2010,55.1092,14.175,1,2,2010-2-16,2010:1:DE:06SL:TVS:24237:31,39G4,24,DE,31,16,970.202705732516,2_2010,1.0391366481781006,16.791648864746094,7.985787463153075,46.97999954223633,447.3700137226296,6107.254003992279
2010,55.0917,13.8248,1,2,2010-2-15,2010:1:DE:06SL:TVS:24101:26,39G3,24,DE,26,15,1131.473442392296,2_2010,1.4924461841583252,18.181110382080078,7.631157371429443,45.34000015258789,424.9975394706345,6105.626609820582
2010,55.0662,13.3385,1,2,2010-2-14,2010:1:DE:06SL:TVS:24104:22,39G3,24,DE,22,14,1240.6395902586598,2_2010,2.0640642642974854,17.347251892089844,7.842919062185668,43,393.8964561944859,6103.419504376707
2010,54.6385,14.7568,1,2,2010-2-18,2010:1:DE:06SL:TVS:24150:41,38G4,24,DE,41,18,154.9166344402391,2_2010,1.7373625040054321,9.61944580078125,8.492862630145263,47.869998931884766,484.3033119237992,6054.592434589944
2010,55.2517,13.7138,1,2,2010-2-16,2010:1:DE:06SL:TVS:24107:28,39G3,24,DE,28,16,1030.4443068713538,2_2010,2.0002307891845703,15.233925819396973,7.743497944992065,41.04999923706055,418.24192364447583,6123.55499669219
2010,55.271,14.0245,1,2,2010-2-16,2010:1:DE:06SL:TVS:24142:30,39G4,24,DE,30,16,114.90725107494417,2_2010,1.388161301612854,8.171972274780273,9.005649635916138,33.779998779296875,438.0210333822362,6125.382348047333
2010,55.2988,13.8567,1,2,2010-2-16,2010:1:DE:06SL:TVS:24147:29,39G3,24,DE,29,16,1096.7960239919817,2_2010,1.6533175706863403,11.329044342041016,8.475868560229491,38.04999923706055,427.41096812386144,6128.637855441795
2010,54.8038,13.2485,1,2,2010-2-22,2010:1:DE:06SL:TVS:24151:57,38G3,24,DE,57,22,389.8082163294041,2_2010,1.0378737449645996,15.827507972717285,8.27206271812744,43.25,387.4189369473314,6074.365202831168
2010,54.7718,13.9822,1,2,2010-2-20,2010:1:DE:06SL:TVS:24161:51,38G3,24,DE,51,20,1147.7424462172505,2_2010,0.5336571931838989,13.153783798217773,8.771058356262206,38.099998474121094,434.5249852989797,6069.873097452318
2010,54.681,14.6642,1,2,2010-2-18,2010:1:DE:06SL:TVS:24164:40,38G4,24,DE,40,18,148.69200491228054,2_2010,1.5408737659454346,9.238611221313477,8.62856919569702,48.349998474121094,478.34932331544786,6059.346125840802
2010,54.9398,13.1217,1,2,2010-2-22,2010:1:DE:06SL:TVS:24171:56,38G3,24,DE,56,22,1490.7988991829257,2_2010,1.5575412511825562,16.405431747436523,7.927311326394653,43.099998474121094,379.675396929339,6089.707100300701
